fema_declaration_string,disaster_number,state,declaration_type,declaration_date,fy_declared,incident_type,declaration_title,ih_program_declared,ia_program_declared,pa_program_declared,hm_program_declared,incident_begin_date,incident_end_date,disaster_closeout_date,fips,place_code,designated_area,declaration_request_number,last_ia_filing_date,hash,last_refresh,id
EM-3541-AR,3541,AR,EM,2020-08-27T09:00:00Z,2020,Hurricane,Hurricane Laura,0,0,1,0,2020-08-26T08:00:00Z,2020-08-28T23:00:00Z,2021-05-24T23:59:00Z,5131,99131,Sebastian (County),20250,NA,faf01c718335e81b32ad4e24273fb64809c3448a,2022-04-26T19:01:44Z,60c3b861a0ee349d710ade97
EM-3541-AR,3541,AR,EM,2020-08-27T09:00:00Z,2020,Hurricane,Hurricane Laura,0,0,1,0,2020-08-26T08:00:00Z,2020-08-28T23:00:00Z,2021-05-24T23:59:00Z,5143,99143,Washington (County),20250,NA,f67274aed9f248a7c3a201a928221b9d26e8feef,2022-04-26T19:01:44Z,60c3b861a0ee349d710adebf
EM-3541-AR,3541,AR,EM,2020-08-27T09:00:00Z,2020,Hurricane,Hurricane Laura,0,0,1,0,2020-08-26T08:00:00Z,2020-08-28T23:00:00Z,2021-05-24T23:59:00Z,5079,99079,Lincoln (County),20250,NA,e5f25604660ea286f771c6845e0152e646398dbb,2022-04-26T19:01:44Z,60c3b861a0ee349d710addf6
EM-3541-AR,3541,AR,EM,2020-08-27T09:00:00Z,2020,Hurricane,Hurricane Laura,0,0,1,0,2020-08-26T08:00:00Z,2020-08-28T23:00:00Z,2021-05-24T23:59:00Z,5073,99073,Lafayette (County),20250,NA,2a012081fac9add3af85127bbc8bc0f68b355718,2022-04-26T19:01:44Z,60c3b861a0ee349d710addfa
EM-3541-AR,3541,AR,EM,2020-08-27T09:00:00Z,2020,Hurricane,Hurricane Laura,0,0,1,0,2020-08-26T08:00:00Z,2020-08-28T23:00:00Z,2021-05-24T23:59:00Z,5087,99087,Madison (County),20250,NA,7b0381cd5b6489d2daef14dcdff267ef3343f7c4,2022-04-26T19:01:44Z,60c3b861a0ee349d710ade1d
EM-3541-AR,3541,AR,EM,2020-08-27T09:00:00Z,2020,Hurricane,Hurricane Laura,0,0,1,0,2020-08-26T08:00:00Z,2020-08-28T23:00:00Z,2021-05-24T23:59:00Z,5111,99111,Poinsett (County),20250,NA,93067889d8e578e3bd01ab505c538d602485de9b,2022-04-26T19:01:44Z,60c3b861a0ee349d710ade5b
EM-3541-AR,3541,AR,EM,2020-08-27T09:00:00Z,2020,Hurricane,Hurricane Laura,0,0,1,0,2020-08-26T08:00:00Z,2020-08-28T23:00:00Z,2021-05-24T23:59:00Z,5123,99123,St. Francis (County),20250,NA,b070a8a2a0b755379173ce45fdec371d719ec416,2022-04-26T19:01:44Z,60c3b861a0ee349d710ade84
EM-3541-AR,3541,AR,EM,2020-08-27T09:00:00Z,2020,Hurricane,Hurricane Laura,0,0,1,0,2020-08-26T08:00:00Z,2020-08-28T23:00:00Z,2021-05-24T23:59:00Z,5091,99091,Miller (County),20250,NA,00f12489d0c6e6aa864cde675117b5523811d38f,2022-04-26T19:01:44Z,60c3b861a0ee349d710ade17
EM-3541-AR,3541,AR,EM,2020-08-27T09:00:00Z,2020,Hurricane,Hurricane Laura,0,0,1,0,2020-08-26T08:00:00Z,2020-08-28T23:00:00Z,2021-05-24T23:59:00Z,5141,99141,Van Buren (County),20250,NA,825f292b4fc36ed224615a7be7fcc1c9bbd2699d,2022-04-26T19:01:44Z,60c3b861a0ee349d710adebc
EM-3541-AR,3541,AR,EM,2020-08-27T09:00:00Z,2020,Hurricane,Hurricane Laura,0,0,1,0,2020-08-26T08:00:00Z,2020-08-28T23:00:00Z,2021-05-24T23:59:00Z,5097,99097,Montgomery (County),20250,NA,5c981d7fc12ad615c92b84641da91b8b5fa9266f,2022-04-26T19:01:44Z,60c3b861a0ee349d710ade5e
EM-3541-AR,3541,AR,EM,2020-08-27T09:00:00Z,2020,Hurricane,Hurricane Laura,0,0,1,0,2020-08-26T08:00:00Z,2020-08-28T23:00:00Z,2021-05-24T23:59:00Z,5145,99145,White (County),20250,NA,dc23473c4788d50f536bfb8d12057b7aa3f59755,2022-04-26T19:01:44Z,60c3b861a0ee349d710adec6
EM-3541-AR,3541,AR,EM,2020-08-27T09:00:00Z,2020,Hurricane,Hurricane Laura,0,0,1,0,2020-08-26T08:00:00Z,2020-08-28T23:00:00Z,2021-05-24T23:59:00Z,5099,99099,Nevada (County),20250,NA,90e32e11b5b0dd3adb98a7b55bd7d5cea7d6ed3a,2022-04-26T19:01:44Z,60c3b861a0ee349d710ade3f
EM-3541-AR,3541,AR,EM,2020-08-27T09:00:00Z,2020,Hurricane,Hurricane Laura,0,0,1,0,2020-08-26T08:00:00Z,2020-08-28T23:00:00Z,2021-05-24T23:59:00Z,5121,99121,Randolph (County),20250,NA,a94b74046add8090685483620e40f7b985f9fee4,2022-04-26T19:01:44Z,60c3b861a0ee349d710ade7f
EM-3541-AR,3541,AR,EM,2020-08-27T09:00:00Z,2020,Hurricane,Hurricane Laura,0,0,1,0,2020-08-26T08:00:00Z,2020-08-28T23:00:00Z,2021-05-24T23:59:00Z,5139,99139,Union (County),20250,NA,b00b0740de536a38fe0af8530066bfebc546aad7,2022-04-26T19:01:44Z,60c3b861a0ee349d710adeb1
EM-3541-AR,3541,AR,EM,2020-08-27T09:00:00Z,2020,Hurricane,Hurricane Laura,0,0,1,0,2020-08-26T08:00:00Z,2020-08-28T23:00:00Z,2021-05-24T23:59:00Z,5103,99103,Ouachita (County),20250,NA,cc5cde256453903d0e1a9771537416731e35db2f,2022-04-26T19:01:44Z,60c3b861a0ee349d710ade35
EM-3541-AR,3541,AR,EM,2020-08-27T09:00:00Z,2020,Hurricane,Hurricane Laura,0,0,1,0,2020-08-26T08:00:00Z,2020-08-28T23:00:00Z,2021-05-24T23:59:00Z,5125,99125,Saline (County),20250,NA,2f293100365df3faeb9f74650614b35489056270,2022-04-26T19:01:44Z,60c3b861a0ee349d710adea1
EM-3541-AR,3541,AR,EM,2020-08-27T09:00:00Z,2020,Hurricane,Hurricane Laura,0,0,1,0,2020-08-26T08:00:00Z,2020-08-28T23:00:00Z,2021-05-24T23:59:00Z,5137,99137,Stone (County),20250,NA,3a742bfce519b1e7b4f8b5f32d2ecc5f669e9621,2022-04-26T19:01:44Z,60c3b861a0ee349d710adeb0
EM-3541-AR,3541,AR,EM,2020-08-27T09:00:00Z,2020,Hurricane,Hurricane Laura,0,0,1,0,2020-08-26T08:00:00Z,2020-08-28T23:00:00Z,2021-05-24T23:59:00Z,5147,99147,Woodruff (County),20250,NA,ab9534ec356596190bca09cad947f6af635aa689,2022-04-26T19:01:44Z,60c3b861a0ee349d710adecc
EM-3541-AR,3541,AR,EM,2020-08-27T09:00:00Z,2020,Hurricane,Hurricane Laura,0,0,1,0,2020-08-26T08:00:00Z,2020-08-28T23:00:00Z,2021-05-24T23:59:00Z,5085,99085,Lonoke (County),20250,NA,53e7aebe9630a0f5e947f18702b9d63041da725d,2022-04-26T19:01:44Z,60c3b861a0ee349d710ade22
EM-3541-AR,3541,AR,EM,2020-08-27T09:00:00Z,2020,Hurricane,Hurricane Laura,0,0,1,0,2020-08-26T08:00:00Z,2020-08-28T23:00:00Z,2021-05-24T23:59:00Z,5105,99105,Perry (County),20250,NA,d5fe72e759f1821b1c6e218954f6588972dcee74,2022-04-26T19:01:44Z,60c3b861a0ee349d710ade49
EM-3541-AR,3541,AR,EM,2020-08-27T09:00:00Z,2020,Hurricane,Hurricane Laura,0,0,1,0,2020-08-26T08:00:00Z,2020-08-28T23:00:00Z,2021-05-24T23:59:00Z,5119,99119,Pulaski (County),20250,NA,a4556baf3fc9c77ad1f5a4db346e84a6e5c663c4,2022-04-26T19:01:44Z,60c3b861a0ee349d710ade77
